2000	4476
2001	4978
2002	5195
2003	5691
2004	6684
2005	8019
2006	9035
2007	11264
2008	14004
2009	11541
2010	12730
2011	12900
2012	13220
2013	13480
2014	13640
2015	13320
2016	12710
2017	12730
2018	14100
