2000	12268
2001	12577
2002	14171
2003	18530
2004	22007
2005	22624
2006	24857
2007	28899
2008	32198
2009	29819
2010	27660
2011	24930
2012	23500
2013	22540
2014	22180
2015	20320
2016	18890
2017	18340
2018	19760
